"","05-A","05-B","05-C","05-D","05-E","05-F","05-F_Pop1","05-G","05-G_Pop1","05-IC_Pop","05-PosMonitor","05-Poster"
"J10",NA,NA,NA,0.47,0.07,NA,NA,NA,NA,NA,0.1,NA
"J11",3.27,2.33,2.73,2.43,1.3,1.87,0.57,2.67,0.13,0.13,4,1.17
"J21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
"J22",0.43,NA,NA,NA,NA,0.17,NA,NA,NA,NA,1.97,0.67
"J23",5.87,1.1,0.73,0.37,0.97,0.5,NA,NA,NA,NA,1.97,0.5
"J32",0.47,NA,NA,NA,NA,0.27,NA,NA,0.3,NA,4.43,1.9
"J33",0.27,NA,NA,0.3,0.73,0.37,0.3,0.27,NA,0.07,1.83,0.23
"J41",4.9,0.6,NA,0.87,0.53,3.03,0.1,0.57,NA,NA,2.07,0.37
"J42",1.17,NA,NA,1.4,12.9,0.4,NA,NA,NA,NA,8.2,NA
"J43",0.07,NA,NA,0.8,0.6,NA,NA,NA,NA,NA,3.33,NA
