"","02-A","02-A_Pop1","02-A_Pop2","02-B","02-B_Pop1","02-C","02-C_Pop1","02-D","02-E","02-F","02-G","02-H"
"J10",0.43,NA,0.2,0.13,NA,0.1,NA,0.1,NA,0.43,NA,NA
"J11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J21",NA,NA,NA,NA,NA,NA,NA,0.03,0.63,NA,NA,NA
"J22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J23",3.33,0.6,0.17,0.23,NA,0.13,NA,0.37,0.23,0.1,NA,NA
"J32",NA,NA,0.13,1.6,NA,0.83,NA,NA,NA,NA,NA,NA
"J33",NA,NA,NA,NA,NA,0.48,0.04,0.36,0.32,NA,NA,NA
"J41",1.47,0.27,0.3,0.47,NA,0.8,NA,NA,0.17,0.23,0.3,0.27
"J42",NA,NA,0.4,0.07,NA,1.73,NA,0.13,NA,NA,NA,NA
"J43",2.4,NA,0.7,0.77,0.13,0.13,0.03,0.33,0.33,0.23,0.37,0.07
