"","J10","J11","J21","J22","J23","J32","J33","J41","J42","J43","Mean_all","Mean_men","Mean_wom"
"02-A","6.57","2.53",NA,NA,"1.3","8.27","0.72","0.67","2.9","1.87","3.10375","3.736","2.05"
"02-A_Pop1","0.13","0.17",NA,NA,NA,NA,NA,NA,NA,NA,"0.15","0.13","0.17"
"02-A_Pop2","0.67",NA,NA,NA,"0.13","11.5","0.8","0.5","1.2","1.2","2.28571428571429","2.8","1"
"02-B","6.47","1.47",NA,NA,"9.07","3.1","7.68","2.07","5.17","1.23","4.5325","4.388","4.77333333333333"
"02-B_Pop1",NA,"0.03",NA,NA,NA,NA,"0.48",NA,NA,NA,"0.255","NaN","0.255"
"02-C","7.6","6",NA,NA,"31.27","3.1","1.32","11.1","10.1","2.73","9.1525","11.16","5.80666666666667"
"02-C_Pop1","0.97",NA,NA,NA,"1.17","1.77","0.24",NA,"0.13","0.4","0.78","1.0775","0.185"
"02-D","16.4","6.63","0.43",NA,"0.47","3.23","0.48","2.2","1.9","10.4","4.68222222222222","6.54","2.36"
"02-E","7.93","5.3",NA,NA,"5.97","2.93","0.96","8.93","2.53","10.23","5.5975","7.198","2.93"
"02-F","0.63","2.13",NA,NA,"1.6",NA,"1","0.93","0.2","1.57","1.15142857142857","1.1825","1.11"
"02-G","1.03","1.67",NA,NA,"0.63","0.27","0.44","0.1",NA,"0.53","0.667142857142857","0.512","1.055"
"02-H","1.5","0.17",NA,NA,"1.07","0.4","2.2","0.23",NA,"0.63","0.885714285714286","0.766","1.185"
"Mood","缶コーヒー","弁当","おにぎり","ヨーグルト","おにぎり","飲み物","おにぎり","甘いもの","アルコール","おにぎり","缶コーヒー","弁当","おにぎり"
