"","04-A","04-B","04-C","04-C_Pop1","04-D","04-E","04-E_Pop1","04-F","04-G","04-G_Pop1","04-G_Pop2","04-H","04-H_Pop1","04-H_Pop2","04-H_Pop3","04-I","04-J","04-K","04-L","04-L_Pop1","04-L_Pop2"
"J10",0.17,NA,NA,NA,0.03,NA,NA,NA,2.67,0.17,NA,1.03,NA,NA,NA,0.07,4.63,0.33,NA,NA,NA
"J11",NA,0.67,4.03,NA,0.23,NA,NA,NA,1.87,NA,NA,0.2,NA,NA,0.17,0.2,NA,NA,NA,NA,NA
"J21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J23",NA,NA,NA,NA,0.13,0.2,NA,NA,0.1,NA,NA,0.17,NA,NA,NA,0.13,0.23,0.5,NA,NA,NA
"J32",0.2,1.37,3.37,NA,2.23,2.53,NA,0.93,0.47,NA,NA,10.43,1.83,1.13,2.07,1,NA,0.43,1.07,NA,NA
"J33",NA,NA,0.37,NA,0.5,0.43,NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,0.4,NA,NA
"J41",NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J42",0.27,0.47,0.2,NA,NA,NA,NA,NA,7.43,NA,0.2,1.73,NA,0.3,0.23,0.73,0.7,0.6,0.1,NA,NA
"J43",NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
